model,product_threshold,none_threshold,mean_order_f1
logistic,0.26,0.5,0.33945575059261124
logistic,0.26,1.1,0.33945193990745004
logistic,0.28,0.05,0.3321742314151713
logistic,0.28,0.1,0.3329808046571534
logistic,0.28,0.2,0.3333534572228553
logistic,0.28,0.35,0.3325637985755639
logistic,0.28,0.5,0.3319629805484826
logistic,0.28,1.1,0.33198457443106266
logistic,0.3,0.05,0.3221880979632518
logistic,0.3,0.1,0.3229731752440231
logistic,0.3,0.2,0.3236788778436362
logistic,0.3,0.35,0.32297535277840084
logistic,0.3,0.5,0.322520611015832
logistic,0.3,1.1,0.32251425987389665
logistic,0.32,0.05,0.312107849427881
logistic,0.32,0.1,0.3131195470004352
logistic,0.32,0.2,0.3138469947002935
logistic,0.32,0.35,0.3133546904697072
logistic,0.32,0.5,0.3129875944658457
logistic,0.32,1.1,0.31299394560778104
logistic,0.34,0.05,0.3018267280852654
logistic,0.34,0.1,0.3029237289174236
logistic,0.34,0.2,0.3037656786333158
logistic,0.34,0.35,0.30335847970466273
logistic,0.34,0.5,0.30309554242854053
logistic,0.34,1.1,0.3031018935704758
logistic,0.36,0.05,0.2920422989517171
logistic,0.36,0.1,0.2931355193422472
logistic,0.36,0.2,0.29403943805730837
logistic,0.36,0.35,0.293826584071876
logistic,0.36,0.5,0.2936652650667189
logistic,0.36,1.1,0.2936335093570423
logistic,0.38,0.05,0.28166794510006954
logistic,0.38,0.1,0.2829285606964827
logistic,0.38,0.2,0.28375312038088546
logistic,0.38,0.35,0.2836634785489983
logistic,0.38,0.5,0.2835872648457745
logistic,0.38,1.1,0.28358091370383914
logistic,0.4,0.05,0.2717252223138459
logistic,0.4,0.1,0.27300942786601873
logistic,0.4,0.2,0.273901491116134
logistic,0.4,0.35,0.27387917138876133
logistic,0.4,0.5,0.2738156599694081
logistic,0.4,1.1,0.27378390425973154
logistic,0.42,0.05,0.2623646796430687
logistic,0.42,0.1,0.2635730344144141
logistic,0.42,0.2,0.2647009972221269
logistic,0.42,0.35,0.264772674395397
logistic,0.42,0.5,0.2646837584083025
logistic,0.42,1.1,0.2646837584083025
logistic,0.44,0.05,0.252980515676694
logistic,0.44,0.1,0.2542780237305468
logistic,0.44,0.2,0.25535898808793833
logistic,0.44,0.35,0.255541175130883
logistic,0.44,0.5,0.25549036599540037
logistic,0.44,1.1,0.25549036599540037
logistic,0.46,0.05,0.24374180196697032
